McGuigan Residence
Load Schedule
Vantage Controls Inc.
26 Feb 2025
Vancouver BC Canada
McGuigan Residence v23.dc

VID,Name,Area
583,Billiards Area Bath Fan,Bottom Floor : Billiards Area Bathroom
584,Exterior Stair and Wall Lights,Exterior : Side and Rear Exterior
586,Wine Room Closet Sconces,Bottom Floor : Billiards Area
588,Pool Patio LED Micro Recessed,Bottom Floor : Pool Patio
589,Gym Patio LED Micro Downlights,Bottom Floor : Gym Patio
610,Living Room Valence LED,Top Floor : Living Room
611,East Bed Bath Valance LED,Middle Floor : East Bed Bath
612,Top Floor Stairwell Small Recessed,Middle Floor : Stairs
613,Billiard Small Recessed,Bottom Floor : Billiards Area
614,Valance Dining W Wall,Top Floor : Dining Room
615,West Bed Bath Recessed,Middle Floor : West Bed Bath
616,East Bed Valance LED,Middle Floor : East Bedroom
617,Gym Valence LED,Bottom Floor : Gym
618,Pool Room Valance LED,Bottom Floor : Pool Room
619,East Bed Bath Vanity Recessed,Middle Floor : East Bed Bath
620,Kitchen Valence LED,Top Floor : Kitchen
621,Main Bed Bath Valence LED,Middle Floor : Main Bed Bathroom
623,Main Bed Valence LED,Middle Floor : Main Bedroom
624,Family Room Valence LED,Top Floor : Family Room
625,Main Bed Walk In Recessed,Middle Floor : Main Bed Walk In
626,Kitchen Sink Small Recessed,Top Floor : Kitchen
627,Main Bed Bath Vanity Recessed,Middle Floor : Main Bed Bathroom
628,West Bed Valance LED,Middle Floor : West Bedroom
629,Suite Living Room Valance LED,Bottom Floor : Suite Living Room
630,Suite Bath Mirror LED,Bottom Floor : Suite Bathroom
631,Gym TV Recessed,Bottom Floor : Gym
632,Gym Main Recessed,Bottom Floor : Gym
633,Pool Room East Recessed,Bottom Floor : Pool Room
634,Suite Bath Kick LED,Bottom Floor : Suite Bathroom
647,Suite Bath Valance LED,Bottom Floor : Suite Bathroom
648,Suite Bed Valance LED,Bottom Floor : Suite Bedroom
649,Suite Kitchen Counter LED,Bottom Floor : Suite Kitchen
651,Suite Patio Micro LED Recessed,Bottom Floor : Suite Patio
652,Front Door Exterior LED Micro Downlights,Exterior : Front Exterior
653,Pool Room Underwater Light,Bottom Floor : Pool Room
654,Jacuzzi Jets,Bottom Floor : Mechanical Room
655,Jacuzzi Heater,Bottom Floor : Pool Room
656,Bottom Floor Mechanical Room Lights,Bottom Floor : Mechanical Room
657,Pool Fibre Optic,Bottom Floor : Pool Room

