McGuigan Residence,Task List
1441,Volume - POOL ROOM
1442,Gym - Exercise TOGGLE
1443,Valence Lights ALL - Toggle
1469,Volume + BILLIARDS AREA
1471,Volume - BILLIARDS AREA
1472,Volume + SUITE KITCHEN
1473,Volume - SUITE KITCHEN
1474,Volume + MAIN BED BATH
1475,Volume - MAIN BED BATH
1476,Volume + DINING ROOM
Vantage Controls, Inc.,Page 4 of 5


1477,Volume - DINING ROOM
1478,Whole House -BRIGHT SCENE
1479,Whole House -RELAX SCENE
1480,Pool Camera Shut Off 3 hrs
1497,East Bed Bath - OCC (Day/Night)
1500,West Bed Bath - OCC (Day/Night)
1502,Suite Bath - OCC (Day/Night)
1504,Main Bed Bath - OCC (Day/Night)
1506,Powder Room - OCC (Day/Night)
1507,Billiards Area Bath - OCC (Day/Night)
1508,East Bed Closet - OCC (Day/Night)
1509,Main Bed Walk-In - OCC (Day/Night)
1510,West Bed Closet - OCC (Day/Night)
1511,Main Bed East Closet - OCC (Day/Night)
1512,Suite Bed Closet - OCC (Day/Night)
1515,Wine Room - OCC
1516,Lower Hall - OCC
1518,East and West Patio - SWITCH TOGGLE
Vantage Controls, Inc.,Page 5 of 5
